variant,deltas_per_block,us_per_block_mean,us_per_block_ci_half,us_per_delta
plain,10,16.291,0.149,1.6291
plain,50,78.887,0.351,1.5777
plain,100,157.649,1.070,1.5765
plain,500,789.879,2.247,1.5798
NONNEG,10,48.104,0.177,4.8104
NONNEG,50,244.716,1.773,4.8943
NONNEG,100,492.618,2.664,4.9262
NONNEG,500,2554.283,7.826,5.1086
RANGE,10,52.775,0.530,5.2775
RANGE,50,264.577,1.943,5.2915
RANGE,100,531.734,2.538,5.3173
RANGE,500,2744.258,11.248,5.4885
